Index	x	y	Temp
0	0	0	44,62239359
1	0,5	0	32,80436686
2	1	0	28,78442565
3	1,5	0	26,17515163
4	2	0	24,42585126
5	2,5	0	23,19910277
6	3	0	22,32227806
7	3,5	0	21,68939361
8	4	0	21,23032152
9	4,5	0	20,89648978
10	5	0	20,65342141
11	5,5	0	20,47632455
12	6	0	20,34725126
13	6,5	0	20,25316319
14	7	0	20,1845718
15	7,5	0	20,13456565
16	8	0	20,09810816
17	8,5	0	20,07152816
18	9	0	20,0521494
19	9,5	0	20,03802084
20	10	0	20,02772004
21	10,5	0	20,02020995
22	11	0	20,01473449
23	11,5	0	20,01074242
24	12	0	20,00783184
25	12,5	0	20,00570973
26	13	0	20,00416245
27	13,5	0	20,00303422
28	14	0	20,00221146
29	14,5	0	20,00161134
30	15	0	20,00117343
31	15,5	0	20,00085366
32	16	0	20,00061984
33	16,5	0	20,00044841
34	17	0	20,00032213
35	17,5	0	20,00022828
36	18	0	20,00015741
37	18,5	0	20,00010237
38	19	0	20,00005775
39	19,5	0	20,00001577
40	0,25	0,25	52,80544494
41	0,75	0,25	41,01138434
42	1,25	0,25	34,59654066
43	1,75	0,25	30,39072376
44	2,25	0,25	27,48686526
45	2,75	0,25	25,42618709
46	3,25	0,25	23,94423856
47	3,75	0,25	22,87127333
48	4,25	0,25	22,09175954
49	4,75	0,25	21,52445405
50	5,25	0,25	21,1112221
51	5,75	0,25	20,81008394
52	6,25	0,25	20,59058283
53	6,75	0,25	20,43056884
54	7,25	0,25	20,31391346
55	7,75	0,25	20,22886537
56	8,25	0,25	20,16685977
57	8,75	0,25	20,12165328
58	9,25	0,25	20,0886944
59	9,75	0,25	20,06466488
60	10,25	0,25	20,0471455
61	10,75	0,25	20,03437249
62	11,25	0,25	20,02505992
63	11,75	0,25	20,01827026
64	12,25	0,25	20,01331994
65	12,75	0,25	20,00971061
66	13,25	0,25	20,00707888
67	13,75	0,25	20,00515982
68	14,25	0,25	20,00376023
69	14,75	0,25	20,00273919
70	15,25	0,25	20,00199392
71	15,75	0,25	20,00144939
72	16,25	0,25	20,00105077
73	16,75	0,25	20,00075794
74	17,25	0,25	20,00054141
75	17,75	0,25	20,00037939
76	18,25	0,25	20,00025554
77	18,75	0,25	20,00015741
78	19,25	0,25	20,00007446
79	0	0,5	76,7517223
80	0,5	0,5	57,04329701
81	1	0,5	45,41344783
82	1,5	0,5	38,01313752
83	2	0,5	32,94875463
84	2,5	0,5	29,37375237
85	3	0,5	26,80961516
86	3,5	0,5	24,95566742
87	4	0,5	23,60971076
88	4,5	0,5	22,63051609
89	5	0,5	21,91738892
90	5,5	0,5	21,39775352
91	6	0,5	21,01900645
92	6,5	0,5	20,74291042
93	7	0,5	20,54162993
94	7,5	0,5	20,39488645
95	8	0,5	20,28790122
96	8,5	0,5	20,20990153
97	9	0,5	20,15303403
98	9,5	0,5	20,11157334
99	10	0,5	20,08134531
100	10,5	0,5	20,05930672
101	11	0,5	20,04323882
102	11,5	0,5	20,03152397
103	12	0,5	20,02298279
104	12,5	0,5	20,01675539
105	13	0,5	20,01221484
106	13,5	0,5	20,00890401
107	14	0,5	20,0064896
108	14,5	0,5	20,00472851
109	15	0,5	20,00344347
110	15,5	0,5	20,0025051
111	16	0,5	20,00181894
112	16,5	0,5	20,00131589
113	17	0,5	20,00094531
114	17,5	0,5	20,00066991
115	18	0,5	20,00046194
116	18,5	0,5	20,00030045
117	19	0,5	20,00016907
118	19,5	0,5	20,00005525
119	0,25	0,75	75,69799965
120	0,75	0,75	58,65835911
121	1,25	0,75	47,3875072
122	1,75	0,75	39,67777845
123	2,25	0,75	34,23965104
124	2,75	0,75	30,34230607
125	3,25	0,75	27,52572892
126	3,75	0,75	25,48142886
127	4,25	0,75	23,99438131
128	4,75	0,75	22,91146947
129	5,25	0,75	22,12241007
130	5,75	0,75	21,54729796
131	6,25	0,75	21,12806108
132	6,75	0,75	20,82242895
133	7,25	0,75	20,59960847
134	7,75	0,75	20,43715851
135	8,25	0,75	20,31872124
136	8,75	0,75	20,23237182
137	9,25	0,75	20,16941661
138	9,75	0,75	20,12351745
139	10,25	0,75	20,09005341
140	10,75	0,75	20,06565547
141	11,25	0,75	20,04786738
142	11,75	0,75	20,03489832
143	12,25	0,75	20,02544264
144	12,75	0,75	20,01854839
145	13,25	0,75	20,01352149
146	13,75	0,75	20,00985586
147	14,25	0,75	20,00718247
148	14,75	0,75	20,00523217
149	15,25	0,75	20,00380862
150	15,75	0,75	20,0027685
151	16,25	0,75	20,00200709
152	16,75	0,75	20,00144775
153	17,25	0,75	20,00103416
154	17,75	0,75	20,00072468
155	18,25	0,75	20,00048814
156	18,75	0,75	20,00030072
157	19,25	0,75	20,00014369
158	0	1	95,25408106
159	0,5	1	73,74289825
160	1	1	58,43379336
161	1,5	1	47,68965011
